work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Mid,Full Time,AI Architect,800000,CA,Remote,CA,M,Machine Learning Engineer
2023,Entry,Full Time,Data DevOps Engineer,47918,NL,Hybrid,NL,L,Data Engineer
2024,Entry,Full Time,Data Analyst,44555,LT,In Person,LT,M,Data Analyst
2024,Entry,Full Time,Data Analyst,31187,LT,In Person,LT,M,Data Analyst
2024,Senior,Full Time,Data Engineer,220000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,137500,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Scientist,127660,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,68740,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Machine Learning Engineer,137930,CA,In Person,CA,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,74270,CA,In Person,CA,M,Machine Learning Engineer
2024,Senior,Full Time,Data Engineer,180500,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,96200,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,266875,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,128250,US,In Person,US,M,Data Engineer
2024,Executive,Full Time,Business Intelligence,230000,US,In Person,US,M,Other
2024,Executive,Full Time,Business Intelligence,176900,US,In Person,US,M,Other
2024,Mid,Full Time,Data Scientist,212000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,93300,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Machine Learning Scientist,200000,US,In Person,US,M,Machine Learning Engineer
2024,Mid,Full Time,Machine Learning Scientist,140000,US,In Person,US,M,Machine Learning Engineer
2024,Entry,Full Time,Data Analyst,80080,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,65400,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Machine Learning Engineer,210000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,178500,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Data Scientist,165000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,115500,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,AI Software Engineer,242000,EG,In Person,EG,M,Machine Learning Engineer
2024,Senior,Full Time,AI Software Engineer,106200,EG,In Person,EG,M,Machine Learning Engineer
2024,Senior,Full Time,Data Integration Engineer,148000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Integration Engineer,100000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,160000,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,145000,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,180000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,140000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Data Analyst,96600,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,55200,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,85500,US,Remote,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,51000,US,Remote,US,M,Data Analyst
