work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Job_Category,region
2024,MI,FT,AI Architect,800000,USD,800000,Namibia,100,Namibia,M,Other,Americas
2023,EN,FT,Data DevOps Engineer,44382,EUR,47918,Namibia,50,Namibia,L,Data Engineer,Europe
2024,EN,FT,Data Analyst,40100,EUR,44555,Namibia,0,Namibia,M,Data Analyst,Europe
2024,EN,FT,Data Analyst,28069,EUR,31187,Namibia,0,Namibia,M,Data Analyst,Europe
2024,SE,FT,Data Engineer,220000,USD,220000,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,137500,USD,137500,Namibia,0,Namibia,M,Data Engineer,Americas
2024,MI,FT,Data Scientist,127660,USD,127660,Namibia,0,Namibia,M,Data Scientist,Americas
2024,MI,FT,Data Scientist,68740,USD,68740,Namibia,0,Namibia,M,Data Scientist,Americas
2024,SE,FT,Machine Learning Engineer,137930,USD,137930,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Machine Learning Engineer,74270,USD,74270,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Data Engineer,180500,USD,180500,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,96200,USD,96200,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,266875,USD,266875,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,128250,USD,128250,Namibia,0,Namibia,M,Data Engineer,Americas
2024,EX,FT,Business Intelligence,230000,USD,230000,Namibia,0,Namibia,M,Business Intelligence,Americas
2024,EX,FT,Business Intelligence,176900,USD,176900,Namibia,0,Namibia,M,Business Intelligence,Americas
2024,MI,FT,Data Scientist,212000,USD,212000,Namibia,0,Namibia,M,Data Scientist,Americas
2024,MI,FT,Data Scientist,93300,USD,93300,Namibia,0,Namibia,M,Data Scientist,Americas
2024,MI,FT,Machine Learning Scientist,200000,USD,200000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,MI,FT,Machine Learning Scientist,140000,USD,140000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,EN,FT,Data Analyst,80080,USD,80080,Namibia,0,Namibia,M,Data Analyst,Americas
2024,EN,FT,Data Analyst,65400,USD,65400,Namibia,0,Namibia,M,Data Analyst,Americas
2024,SE,FT,Machine Learning Engineer,210000,USD,210000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Machine Learning Engineer,178500,USD,178500,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Data Scientist,165000,USD,165000,Namibia,0,Namibia,M,Data Scientist,Americas
2024,SE,FT,Data Scientist,115500,USD,115500,Namibia,0,Namibia,M,Data Scientist,Americas
2024,SE,FT,AI Software Engineer,242000,USD,242000,Namibia,0,Namibia,M,Data Engineer,Africa
2024,SE,FT,AI Software Engineer,106200,USD,106200,Namibia,0,Namibia,M,Data Engineer,Africa
2024,SE,FT,Data Integration Engineer,148000,USD,148000,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Integration Engineer,100000,USD,100000,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,160000,USD,160000,Namibia,100,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,145000,USD,145000,Namibia,100,Namibia,M,Data Engineer,Americas
2024,SE,FT,Machine Learning Engineer,180000,USD,180000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Machine Learning Engineer,140000,USD,140000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,SE,FT,Data Analyst,96600,USD,96600,Namibia,0,Namibia,M,Data Analyst,Americas
2024,SE,FT,Data Analyst,55200,USD,55200,Namibia,0,Namibia,M,Data Analyst,Americas
2024,EN,FT,Data Analyst,85500,USD,85500,Namibia,100,Namibia,M,Data Analyst,Americas
2024,EN,FT,Data Analyst,51000,USD,51000,Namibia,100,Namibia,M,Data Analyst,Americas
2024,SE,FT,Data Science,185490,USD,185490,Namibia,0,Namibia,M,Other,Americas
2024,SE,FT,Data Science,134530,USD,134530,Namibia,0,Namibia,M,Other,Americas
2024,SE,FT,Research Scientist,337300,USD,337300,Namibia,0,Namibia,M,Research Scientist,Americas
2024,SE,FT,Research Scientist,192700,USD,192700,Namibia,0,Namibia,M,Research Scientist,Americas
2024,SE,FT,Data Engineer,205000,USD,205000,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Engineer,175000,USD,175000,Namibia,0,Namibia,M,Data Engineer,Americas
2024,SE,FT,Data Scientist,185900,USD,185900,Namibia,0,Namibia,M,Data Scientist,Americas
2024,SE,FT,Data Scientist,109400,USD,109400,Namibia,0,Namibia,M,Data Scientist,Americas
2024,MI,FT,Machine Learning Engineer,200000,USD,200000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
2024,MI,FT,Machine Learning Engineer,140000,USD,140000,Namibia,0,Namibia,M,Machine Learning Engineer,Americas
