work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category,region
2024,Mid,Full Time,AI Architect,800000,Namibia,Remote,Namibia,M,Machine Learning Engineer,Americas
2023,Entry,Full Time,Data DevOps Engineer,47918,Namibia,Hybrid,Namibia,L,Data Engineer,Europe
2024,Entry,Full Time,Data Analyst,44555,Namibia,In Person,Namibia,M,Data Analyst,Europe
2024,Entry,Full Time,Data Analyst,31187,Namibia,In Person,Namibia,M,Data Analyst,Europe
2024,Senior,Full Time,Data Engineer,220000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,137500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Scientist,127660,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,68740,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Machine Learning Engineer,137930,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,74270,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Engineer,180500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,96200,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,266875,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,128250,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Executive,Full Time,Business Intelligence,230000,Namibia,In Person,Namibia,M,Business Intelligence,Americas
2024,Executive,Full Time,Business Intelligence,176900,Namibia,In Person,Namibia,M,Business Intelligence,Americas
2024,Mid,Full Time,Data Scientist,212000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,93300,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Machine Learning Scientist,200000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Mid,Full Time,Machine Learning Scientist,140000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Entry,Full Time,Data Analyst,80080,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,65400,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Machine Learning Engineer,210000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,178500,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Scientist,165000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,115500,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,AI Software Engineer,242000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Africa
2024,Senior,Full Time,AI Software Engineer,106200,Namibia,In Person,Namibia,M,Machine Learning Engineer,Africa
2024,Senior,Full Time,Data Integration Engineer,148000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Integration Engineer,100000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,160000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,145000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,180000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,140000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Analyst,96600,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,55200,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,85500,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,51000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Science,185490,Namibia,In Person,Namibia,M,Other,Americas
2024,Senior,Full Time,Data Science,134530,Namibia,In Person,Namibia,M,Other,Americas
2024,Senior,Full Time,Research Scientist,337300,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Research Scientist,192700,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Data Engineer,205000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,175000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Scientist,185900,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,109400,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Machine Learning Engineer,200000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Mid,Full Time,Machine Learning Engineer,140000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Engineer,277000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,173000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Executive,Full Time,Data Architect,210000,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Executive,Full Time,Data Architect,180000,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Mid,Full Time,Data Engineer,77777,Namibia,In Person,Namibia,M,Data Engineer,Europe
2024,Mid,Full Time,Data Engineer,58888,Namibia,In Person,Namibia,M,Data Engineer,Europe
2024,Mid,Full Time,Data Engineer,200000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Engineer,150000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Analyst,193000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,156000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Business Intelligence Analyst,92000,Namibia,In Person,Namibia,M,Data Analyst,Oceania
2024,Entry,Full Time,Business Intelligence Analyst,90000,Namibia,In Person,Namibia,M,Data Analyst,Oceania
2024,Mid,Full Time,Analytics Engineer,197000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Analytics Engineer,115000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,95584,Namibia,Remote,Namibia,M,Data Analyst,Europe
2024,Senior,Full Time,Data Analyst,79653,Namibia,Remote,Namibia,M,Data Analyst,Europe
2024,Senior,Full Time,Data Analyst,95717,Namibia,Remote,Namibia,M,Data Analyst,Europe
